time,open,high,low,close,volume
1,100.00,105.73,98.50,104.23,1001
2,104.23,109.52,102.73,108.02,1002
3,108.02,112.50,106.52,111.00,1003
4,111.00,114.36,109.50,112.86,1004
5,112.86,114.94,111.36,113.44,1005
6,113.44,114.94,111.21,112.71,1006
7,112.71,114.21,109.28,110.78,1007
8,110.78,112.28,106.39,107.89,1008
9,107.89,109.39,102.89,104.39,1009
10,104.39,105.89,99.21,100.71,1010
11,100.71,102.21,95.78,97.28,1011
12,97.28,98.78,93.02,94.52,1012
13,94.52,96.02,91.25,92.75,1013
14,92.75,94.25,90.71,92.21,1014
15,92.21,94.49,90.71,92.99,1015
16,92.99,96.54,91.49,95.04,1016
17,95.04,99.66,93.54,98.16,1017
18,98.16,103.55,96.66,102.05,1018
19,102.05,107.80,100.55,106.30,1019
20,106.30,111.99,104.80,110.49,1020
21,110.49,115.68,108.99,114.18,1021
22,114.18,118.51,112.68,117.01,1022
23,117.01,120.19,115.51,118.69,1023
24,118.69,120.57,117.19,119.07,1024
25,119.07,120.57,116.65,118.15,1025
26,118.15,119.65,114.55,116.05,1026
27,116.05,117.55,111.55,113.05,1027
28,113.05,114.55,108.00,109.50,1028
29,109.50,111.00,104.33,105.83,1029
30,105.83,107.33,100.97,102.47,1030
31,102.47,103.97,98.34,99.84,1031
32,99.84,101.34,96.74,98.24,1032
33,98.24,99.74,96.40,97.90,1033
34,97.90,100.38,96.40,98.88,1034
35,98.88,102.60,97.38,101.10,1035
36,101.10,105.86,99.60,104.36,1036
37,104.36,109.83,102.86,108.33,1037
38,108.33,114.10,106.83,112.60,1038
39,112.60,118.24,111.10,116.74,1039
40,116.74,118.24,94.83,96.33,1040
41,96.33,99.90,94.83,98.40,1041
42,98.40,100.79,96.90,99.29,1042
43,99.29,100.79,97.37,98.87,1043
44,98.87,100.37,95.66,97.16,1044
45,97.16,98.66,92.80,94.30,1045
46,94.30,95.80,89.09,90.59,1046
47,90.59,92.09,84.90,86.40,1047
48,86.40,87.90,80.65,82.15,1048
49,82.15,83.65,76.78,78.28,1049
50,78.28,79.78,73.68,75.18,1050
51,75.18,76.68,71.66,73.16,1051
52,73.16,74.66,70.92,72.42,1052
53,72.42,74.49,70.92,72.99,1053
54,72.99,76.29,71.49,74.79,1054
55,74.79,79.08,73.29,77.58,1055
56,77.58,82.52,76.08,81.02,1056
57,81.02,86.20,79.52,84.70,1057
58,84.70,89.68,83.20,88.18,1058
59,88.18,92.55,86.68,91.05,1059
60,91.05,94.46,89.55,92.96,1060
61,92.96,95.15,91.46,93.65,1061
62,93.65,95.15,91.54,93.04,1062
63,93.04,94.54,89.64,91.14,1063
64,91.14,92.64,86.64,88.14,1064
65,88.14,89.64,82.83,84.33,1065
66,84.33,85.83,78.59,80.09,1066
67,80.09,81.59,74.37,75.87,1067
68,75.87,77.37,70.60,72.10,1068
69,72.10,73.60,67.65,69.15,1069
70,69.15,70.65,65.81,67.31,1070
71,67.31,68.81,65.27,66.77,1071
72,66.77,69.03,65.27,67.53,1072
73,67.53,71.00,66.03,69.50,1073
74,69.50,73.91,68.00,72.41,1074
75,72.41,77.41,70.91,75.91,1075
76,75.91,81.09,74.41,79.59,1076
77,79.59,84.51,78.09,83.01,1077
78,83.01,87.25,81.51,85.75,1078
79,85.75,88.99,84.25,87.49,1079
80,87.49,89.49,85.99,87.99,1080
